id,account,created_at,type,amount,status,currency,value_date,description,collected_at,counterparty,transacted_at,operation_type,internal_identification,inferred_accounting_date
00017ce9-4a85-49bf-9e21-2842f06ff5d5,"{'id': '5b2073be-5ed5-48bb-8d42-242c9402eb8d', 'link': 'e0f02811-39f3-4c08-be2d-b65476e13ff5', 'institution': {'name': 'ofmockbank_br_retail', 'type': 'bank'}, 'created_at': '2025-07-31T11:35:36.384356Z', 'name': 'Sib Bank', 'type': 'CONTA_DEPOSITO_A_VISTA', 'agency': '6272', 'number': '94088392', 'balance': {'blocked': 12345.0001, 'current': 15000.0, 'available': 100000000.04, 'automatically_invested': 15000.0}, 'subtype': 'INDIVIDUAL', 'category': 'CHECKING_ACCOUNT', 'currency': 'BRL', 'overdraft': {'used': 10001.0, 'arranged': 100.0, 'unarranged': 100.0}, 'check_digit': '4', 'balance_type': 'ASSET', 'collected_at': '2025-07-31T12:46:01.443399Z', 'clearing_code': '123', 'internal_identification': '291e5a29-49ed-401f-a583-193caa7aceee', 'public_identification_name': 'AGENCY/NUMBER', 'public_identification_value': '6272/94088392'}",2025-07-31T11:59:14.680861Z,OUTFLOW,771.52,PROCESSED,BRL,2025-01-25,PAGAMENTO,2025-07-31T11:58:56.032624Z,"{'name': None, 'type': 'INDIVIDUAL', 'agency': '6272', 'number': '94088392', 'check_digit': '4', 'clearing_code': '123', 'document_number': '87517400444'}",2025-01-25T03:01:13.613Z,CARTAO,20279336-7e3c-4628-8301-7f7ff43aa5a1,2025-01-27
0029a175-8a99-4695-beb7-bfccf50365cf,"{'id': '5b2073be-5ed5-48bb-8d42-242c9402eb8d', 'link': 'e0f02811-39f3-4c08-be2d-b65476e13ff5', 'institution': {'name': 'ofmockbank_br_retail', 'type': 'bank'}, 'created_at': '2025-07-31T11:35:36.384356Z', 'name': 'Sib Bank', 'type': 'CONTA_DEPOSITO_A_VISTA', 'agency': '6272', 'number': '94088392', 'balance': {'blocked': 12345.0001, 'current': 15000.0, 'available': 100000000.04, 'automatically_invested': 15000.0}, 'subtype': 'INDIVIDUAL', 'category': 'CHECKING_ACCOUNT', 'currency': 'BRL', 'overdraft': {'used': 10001.0, 'arranged': 100.0, 'unarranged': 100.0}, 'check_digit': '4', 'balance_type': 'ASSET', 'collected_at': '2025-07-31T12:46:01.443399Z', 'clearing_code': '123', 'internal_identification': '291e5a29-49ed-401f-a583-193caa7aceee', 'public_identification_name': 'AGENCY/NUMBER', 'public_identification_value': '6272/94088392'}",2025-07-31T11:59:14.702401Z,OUTFLOW,771.52,PROCESSED,BRL,2025-01-22,PAGAMENTO,2025-07-31T11:58:56.407697Z,"{'name': None, 'type': 'INDIVIDUAL', 'agency': '6272', 'number': '94088392', 'check_digit': '4', 'clearing_code': '123', 'document_number': '87517400444'}",2025-01-22T03:01:13.613Z,CARTAO,3b6839e5-1aeb-4f40-8faf-58b7729c3d56,2025-01-22
006f7aa4-c8b0-4416-aa80-8373badeb0e4,"{'id': '5b2073be-5ed5-48bb-8d42-242c9402eb8d', 'link': 'e0f02811-39f3-4c08-be2d-b65476e13ff5', 'institution': {'name': 'ofmockbank_br_retail', 'type': 'bank'}, 'created_at': '2025-07-31T11:35:36.384356Z', 'name': 'Sib Bank', 'type': 'CONTA_DEPOSITO_A_VISTA', 'agency': '6272', 'number': '94088392', 'balance': {'blocked': 12345.0001, 'current': 15000.0, 'available': 100000000.04, 'automatically_invested': 15000.0}, 'subtype': 'INDIVIDUAL', 'category': 'CHECKING_ACCOUNT', 'currency': 'BRL', 'overdraft': {'used': 10001.0, 'arranged': 100.0, 'unarranged': 100.0}, 'check_digit': '4', 'balance_type': 'ASSET', 'collected_at': '2025-07-31T12:46:01.443399Z', 'clearing_code': '123', 'internal_identification': '291e5a29-49ed-401f-a583-193caa7aceee', 'public_identification_name': 'AGENCY/NUMBER', 'public_identification_value': '6272/94088392'}",2025-07-31T11:59:14.670951Z,OUTFLOW,771.52,PROCESSED,BRL,2025-01-27,PAGAMENTO,2025-07-31T11:58:55.920124Z,"{'name': None, 'type': 'INDIVIDUAL', 'agency': '6272', 'number': '94088392', 'check_digit': '4', 'clearing_code': '123', 'document_number': '87517400444'}",2025-01-27T03:01:13.613Z,CARTAO,2b686d54-8971-4df4-842a-c2bd0fb49f20,2025-01-27
0077a313-08e9-4258-ab1a-f9ebc330ac46,"{'id': '50ae652a-41b9-44d9-a5cb-7ed6203c733a', 'link': 'e0f02811-39f3-4c08-be2d-b65476e13ff5', 'institution': {'name': 'ofmockbank_br_retail', 'type': 'bank'}, 'created_at': '2025-07-31T11:35:36.384280Z', 'name': 'Sib Bank', 'type': 'CONTA_POUPANCA', 'agency': '6272', 'number': '11188222', 'balance': {'blocked': 999.99, 'current': 15000.0, 'available': 41233.07, 'automatically_invested': 15000.0}, 'subtype': 'INDIVIDUAL', 'category': 'SAVINGS_ACCOUNT', 'currency': 'BRL', 'overdraft': {'used': 12345.4, 'arranged': 100.0, 'unarranged': 100.0}, 'check_digit': '4', 'balance_type': 'ASSET', 'collected_at': '2025-07-31T12:45:59.879051Z', 'clearing_code': '123', 'internal_identification': '291e5a29-49ed-401f-a583-193caa7acddd', 'public_identification_name': 'AGENCY/NUMBER', 'public_identification_value': '6272/11188222'}",2025-07-31T11:59:14.691694Z,OUTFLOW,771.52,PROCESSED,BRL,2025-01-23,PAGAMENTO,2025-07-31T11:59:10.827392Z,"{'name': None, 'type': 'INDIVIDUAL', 'agency': '6272', 'number': '94088392', 'check_digit': '4', 'clearing_code': '123', 'document_number': '87517400444'}",2025-01-23T03:01:13.613Z,CARTAO,9096cb55-3b4f-4f7b-a1ff-a949bfe254ce,2025-01-23
0084da46-d916-429d-a33b-6726378e6156,"{'id': '50ae652a-41b9-44d9-a5cb-7ed6203c733a', 'link': 'e0f02811-39f3-4c08-be2d-b65476e13ff5', 'institution': {'name': 'ofmockbank_br_retail', 'type': 'bank'}, 'created_at': '2025-07-31T11:35:36.384280Z', 'name': 'Sib Bank', 'type': 'CONTA_POUPANCA', 'agency': '6272', 'number': '11188222', 'balance': {'blocked': 999.99, 'current': 15000.0, 'available': 41233.07, 'automatically_invested': 15000.0}, 'subtype': 'INDIVIDUAL', 'category': 'SAVINGS_ACCOUNT', 'currency': 'BRL', 'overdraft': {'used': 12345.4, 'arranged': 100.0, 'unarranged': 100.0}, 'check_digit': '4', 'balance_type': 'ASSET', 'collected_at': '2025-07-31T12:45:59.879051Z', 'clearing_code': '123', 'internal_identification': '291e5a29-49ed-401f-a583-193caa7acddd', 'public_identification_name': 'AGENCY/NUMBER', 'public_identification_value': '6272/11188222'}",2025-07-31T11:59:14.579266Z,OUTFLOW,771.52,PROCESSED,BRL,2025-07-23,PAGAMENTO,2025-07-31T11:59:10.734838Z,"{'name': None, 'type': 'INDIVIDUAL', 'agency': '6272', 'number': '94088392', 'check_digit': '4', 'clearing_code': '123', 'document_number': '87517400444'}",2025-07-23T03:01:13.613Z,CARTAO,eb528819-f66b-44f5-9594-0496641374af,2025-07-23
00ae90b2-64c9-48ed-baa8-8b217207ca6b,"{'id': '5b2073be-5ed5-48bb-8d42-242c9402eb8d', 'link': 'e0f02811-39f3-4c08-be2d-b65476e13ff5', 'institution': {'name': 'ofmockbank_br_retail', 'type': 'bank'}, 'created_at': '2025-07-31T11:35:36.384356Z', 'name': 'Sib Bank', 'type': 'CONTA_DEPOSITO_A_VISTA', 'agency': '6272', 'number': '94088392', 'balance': {'blocked': 12345.0001, 'current': 15000.0, 'available': 100000000.04, 'automatically_invested': 15000.0}, 'subtype': 'INDIVIDUAL', 'category': 'CHECKING_ACCOUNT', 'currency': 'BRL', 'overdraft': {'used': 10001.0, 'arranged': 100.0, 'unarranged': 100.0}, 'check_digit': '4', 'balance_type': 'ASSET', 'collected_at': '2025-07-31T12:46:01.443399Z', 'clearing_code': '123', 'internal_identification': '291e5a29-49ed-401f-a583-193caa7aceee', 'public_identification_name': 'AGENCY/NUMBER', 'public_identification_value': '6272/94088392'}",2025-07-31T11:59:14.755033Z,OUTFLOW,771.52,PROCESSED,BRL,2025-01-21,PAGAMENTO,2025-07-31T11:58:56.417811Z,"{'name': None, 'type': 'INDIVIDUAL', 'agency': '6272', 'number': '94088392', 'check_digit': '4', 'clearing_code': '123', 'document_number': '87517400444'}",2025-01-21T03:01:13.613Z,CARTAO,2168780b-694b-4166-92a7-c750b06acf94,2025-01-21
00cd0f19-59d6-449c-8d26-5bfd0ce8b460,"{'id': '5b2073be-5ed5-48bb-8d42-242c9402eb8d', 'link': 'e0f02811-39f3-4c08-be2d-b65476e13ff5', 'institution': {'name': 'ofmockbank_br_retail', 'type': 'bank'}, 'created_at': '2025-07-31T11:35:36.384356Z', 'name': 'Sib Bank', 'type': 'CONTA_DEPOSITO_A_VISTA', 'agency': '6272', 'number': '94088392', 'balance': {'blocked': 12345.0001, 'current': 15000.0, 'available': 100000000.04, 'automatically_invested': 15000.0}, 'subtype': 'INDIVIDUAL', 'category': 'CHECKING_ACCOUNT', 'currency': 'BRL', 'overdraft': {'used': 10001.0, 'arranged': 100.0, 'unarranged': 100.0}, 'check_digit': '4', 'balance_type': 'ASSET', 'collected_at': '2025-07-31T12:46:01.443399Z', 'clearing_code': '123', 'internal_identification': '291e5a29-49ed-401f-a583-193caa7aceee', 'public_identification_name': 'AGENCY/NUMBER', 'public_identification_value': '6272/94088392'}",2025-07-31T11:59:14.654913Z,OUTFLOW,771.52,PROCESSED,BRL,2025-07-20,PAGAMENTO,2025-07-31T11:58:56.453204Z,"{'name': None, 'type': 'INDIVIDUAL', 'agency': '6272', 'number': '94088392', 'check_digit': '4', 'clearing_code': '123', 'document_number': '87517400444'}",2025-07-20T03:01:13.613Z,CARTAO,82bb4af4-39e3-4815-bc83-dde0f668de54,2025-07-21
00f557d8-bb72-4d7b-8af6-cd6b28a95d41,"{'id': '5b2073be-5ed5-48bb-8d42-242c9402eb8d', 'link': 'e0f02811-39f3-4c08-be2d-b65476e13ff5', 'institution': {'name': 'ofmockbank_br_retail', 'type': 'bank'}, 'created_at': '2025-07-31T11:35:36.384356Z', 'name': 'Sib Bank', 'type': 'CONTA_DEPOSITO_A_VISTA', 'agency': '6272', 'number': '94088392', 'balance': {'blocked': 12345.0001, 'current': 15000.0, 'available': 100000000.04, 'automatically_invested': 15000.0}, 'subtype': 'INDIVIDUAL', 'category': 'CHECKING_ACCOUNT', 'currency': 'BRL', 'overdraft': {'used': 10001.0, 'arranged': 100.0, 'unarranged': 100.0}, 'check_digit': '4', 'balance_type': 'ASSET', 'collected_at': '2025-07-31T12:46:01.443399Z', 'clearing_code': '123', 'internal_identification': '291e5a29-49ed-401f-a583-193caa7aceee', 'public_identification_name': 'AGENCY/NUMBER', 'public_identification_value': '6272/94088392'}",2025-07-31T11:59:14.677339Z,OUTFLOW,771.52,PROCESSED,BRL,2025-01-26,PAGAMENTO,2025-07-31T11:58:56.024237Z,"{'name': None, 'type': 'INDIVIDUAL', 'agency': '6272', 'number': '94088392', 'check_digit': '4', 'clearing_code': '123', 'document_number': '87517400444'}",2025-01-26T03:01:13.613Z,CARTAO,36447a12-8999-4925-adff-4958331dd8b9,2025-01-27
010e31fc-3e4a-4dd0-b614-786141a27295,"{'id': '50ae652a-41b9-44d9-a5cb-7ed6203c733a', 'link': 'e0f02811-39f3-4c08-be2d-b65476e13ff5', 'institution': {'name': 'ofmockbank_br_retail', 'type': 'bank'}, 'created_at': '2025-07-31T11:35:36.384280Z', 'name': 'Sib Bank', 'type': 'CONTA_POUPANCA', 'agency': '6272', 'number': '11188222', 'balance': {'blocked': 999.99, 'current': 15000.0, 'available': 41233.07, 'automatically_invested': 15000.0}, 'subtype': 'INDIVIDUAL', 'category': 'SAVINGS_ACCOUNT', 'currency': 'BRL', 'overdraft': {'used': 12345.4, 'arranged': 100.0, 'unarranged': 100.0}, 'check_digit': '4', 'balance_type': 'ASSET', 'collected_at': '2025-07-31T12:45:59.879051Z', 'clearing_code': '123', 'internal_identification': '291e5a29-49ed-401f-a583-193caa7acddd', 'public_identification_name': 'AGENCY/NUMBER', 'public_identification_value': '6272/11188222'}",2025-07-31T11:59:14.703001Z,OUTFLOW,771.52,PROCESSED,BRL,2025-01-21,PAGAMENTO,2025-07-31T11:59:10.938243Z,"{'name': None, 'type': 'INDIVIDUAL', 'agency': '6272', 'number': '94088392', 'check_digit': '4', 'clearing_code': '123', 'document_number': '87517400444'}",2025-01-21T03:01:13.613Z,CARTAO,78f4b9f0-46cd-4d01-a678-e5e20a96bc87,2025-01-21
0130bd41-4302-4852-9e47-22b4fea2e230,"{'id': '50ae652a-41b9-44d9-a5cb-7ed6203c733a', 'link': 'e0f02811-39f3-4c08-be2d-b65476e13ff5', 'institution': {'name': 'ofmockbank_br_retail', 'type': 'bank'}, 'created_at': '2025-07-31T11:35:36.384280Z', 'name': 'Sib Bank', 'type': 'CONTA_POUPANCA', 'agency': '6272', 'number': '11188222', 'balance': {'blocked': 999.99, 'current': 15000.0, 'available': 41233.07, 'automatically_invested': 15000.0}, 'subtype': 'INDIVIDUAL', 'category': 'SAVINGS_ACCOUNT', 'currency': 'BRL', 'overdraft': {'used': 12345.4, 'arranged': 100.0, 'unarranged': 100.0}, 'check_digit': '4', 'balance_type': 'ASSET', 'collected_at': '2025-07-31T12:45:59.879051Z', 'clearing_code': '123', 'internal_identification': '291e5a29-49ed-401f-a583-193caa7acddd', 'public_identification_name': 'AGENCY/NUMBER', 'public_identification_value': '6272/11188222'}",2025-07-31T11:59:14.761287Z,OUTFLOW,771.52,PROCESSED,BRL,2024-11-03,PAGAMENTO,2025-07-31T11:59:10.191999Z,"{'name': None, 'type': 'INDIVIDUAL', 'agency': '6272', 'number': '94088392', 'check_digit': '4', 'clearing_code': '123', 'document_number': '87517400444'}",2024-11-03T00:00:00.000Z,CARTAO,f3732e2e-cbcc-44fb-a927-a06011220643,2024-11-04
